"citizen","agedef","age","unit","sex","geo","time","values"
"UK","COMPLET","TOTAL","NR","F","AT",2019-01-01,46
"UK","COMPLET","TOTAL","NR","F","BE",2019-01-01,720
"UK","COMPLET","TOTAL","NR","F","BG",2019-01-01,1
"UK","COMPLET","TOTAL","NR","F","CH",2019-01-01,368
"UK","COMPLET","TOTAL","NR","F","CY",2019-01-01,326
"UK","COMPLET","TOTAL","NR","F","CZ",2019-01-01,11
"UK","COMPLET","TOTAL","NR","F","DE",2019-01-01,5250
"UK","COMPLET","TOTAL","NR","F","DK",2019-01-01,43
"UK","COMPLET","TOTAL","NR","F","EE",2019-01-01,0
"UK","COMPLET","TOTAL","NR","F","EL",2019-01-01,13
"UK","COMPLET","TOTAL","NR","F","ES",2019-01-01,99
"UK","COMPLET","TOTAL","NR","F","FI",2019-01-01,57
"UK","COMPLET","TOTAL","NR","F","FR",2019-01-01,2094
"UK","COMPLET","TOTAL","NR","F","HR",2019-01-01,3
"UK","COMPLET","TOTAL","NR","F","HU",2019-01-01,12
"UK","COMPLET","TOTAL","NR","F","IE",2019-01-01,311
"UK","COMPLET","TOTAL","NR","F","IS",2019-01-01,5
"UK","COMPLET","TOTAL","NR","F","IT",2019-01-01,207
"UK","COMPLET","TOTAL","NR","F","LI",2019-01-01,0
"UK","COMPLET","TOTAL","NR","F","LT",2019-01-01,0
"UK","COMPLET","TOTAL","NR","F","LU",2019-01-01,158
"UK","COMPLET","TOTAL","NR","F","LV",2019-01-01,63
"UK","COMPLET","TOTAL","NR","F","MT",2019-01-01,111
"UK","COMPLET","TOTAL","NR","F","NL",2019-01-01,1180
"UK","COMPLET","TOTAL","NR","F","NO",2019-01-01,10
"UK","COMPLET","TOTAL","NR","F","PL",2019-01-01,9
"UK","COMPLET","TOTAL","NR","F","PT",2019-01-01,48
"UK","COMPLET","TOTAL","NR","F","SE",2019-01-01,1344
"UK","COMPLET","TOTAL","NR","F","SI",2019-01-01,1
"UK","COMPLET","TOTAL","NR","F","SK",2019-01-01,38
"UK","COMPLET","TOTAL","NR","F","UK",2019-01-01,0
"UK","COMPLET","TOTAL","NR","M","AT",2019-01-01,45
"UK","COMPLET","TOTAL","NR","M","BE",2019-01-01,910
"UK","COMPLET","TOTAL","NR","M","BG",2019-01-01,1
"UK","COMPLET","TOTAL","NR","M","CH",2019-01-01,500
"UK","COMPLET","TOTAL","NR","M","CY",2019-01-01,279
"UK","COMPLET","TOTAL","NR","M","CZ",2019-01-01,27
"UK","COMPLET","TOTAL","NR","M","DE",2019-01-01,8425
"UK","COMPLET","TOTAL","NR","M","DK",2019-01-01,75
"UK","COMPLET","TOTAL","NR","M","EE",2019-01-01,0
"UK","COMPLET","TOTAL","NR","M","EL",2019-01-01,17
"UK","COMPLET","TOTAL","NR","M","ES",2019-01-01,136
"UK","COMPLET","TOTAL","NR","M","FI",2019-01-01,154
"UK","COMPLET","TOTAL","NR","M","FR",2019-01-01,1994
"UK","COMPLET","TOTAL","NR","M","HR",2019-01-01,2
"UK","COMPLET","TOTAL","NR","M","HU",2019-01-01,40
"UK","COMPLET","TOTAL","NR","M","IE",2019-01-01,354
